city,state,country,population,Lat,Lon,hoods_city_id,hoods_city_name
Payson,UT,,18294,40.04373232,-111.7318153,2291,Payson
Ojus,FL,,18036,25.94754886,-80.15007019,2330,Ojus
Westerly,RI,,17947,41.37750209,-71.82767334,2341,Westerly
Squamish,,CA,17158,49.69917078,-123.1512451,2520,Squamish
Glenvar Heights,FL,,16898,25.70465012,-80.32516479,2458,Glenvar Heights
Cocoa,FL,,16478,28.3861159,-80.7419984,2437,Cocoa
Silverdale,WA,,16206,47.6445386,-122.6948697,2170,Silverdale
Truckee,CA,,16180,39.32795057,-120.1832113,,
Ukiah,CA,,16075,39.15015218,-123.207767,,
Sunny Isles Beach,FL,,15399,25.9428707,-80.1233802,2002,Sunny Isles Beach
Opa-Locka,FL,,15376,25.9023168,-80.2503271,,
Yeppoon,,AU,15141,-23.12987306,150.7452965,2948,Yeppoon
Camano Island,WA,,13358,48.18108322,-122.5273555,,
La Grande,OR,,13102,45.32445283,-118.0874062,,
Tumwater,WA,,12698,47.00717238,-122.9098213,2411,Tumwater
Miami Springs,FL,,12631,25.8223198,-80.289495,,
Clemson,SC,,11939,34.6834382,-82.8373654,,
Cottonwood,AZ,,11311,34.73946973,-112.0091066,,
South Miami,FL,,10769,25.7076017,-80.2933846,,
Emeryville,,CA,10335,37.83117509,-122.2852993,,
Key Biscayne,FL,,10324,25.693713,-80.1628248,,
Sedona,AZ,,10063,34.86991555,-111.760303,,
Astoria,OR,,10045,46.1878841,-123.8312534,,
Miami Shores,FL,,10040,25.8631515,-80.1928253,,
Whistler,,CA,9965,50.11627437,-122.9583406,,
Shelton,WA,,9254,47.2149196,-123.1011143,,
Cottage Grove,OR,,9190,43.79757654,-123.0595139,,
Port Townsend,WA,,9136,48.1170387,-122.7604472,,
North Perth,,AU,8544,-31.92775301,115.8529437,2960,Perth
Innisfail,,AU,8262,-17.52489206,146.0324192,,
East Perth,,AU,8185,-31.95849793,115.8717299,2960,Perth
Port Orchard,WA,,8017,47.5403732,-122.6362492,,
Florida City,FL,,7843,25.4478898,-80.4792237,,
Mt Hawthorn,,AU,7357,-31.92126951,115.8380842,2960,Perth
Longboat Key,FL,,7263,27.4125417,-82.6589881,,
Victoria Park,,AU,6980,-31.97456111,115.898225,2960,Perth
North Bay Village,FL,,6819,25.8462074,-80.1539351,,
Poulsbo,WA,,6813,47.73588471,-122.646505,,
North Adelaide,,AU,6678,-34.90719088,138.5943317,2949,Adelaide
Stanwood,WA,,6231,48.24109637,-122.3701953,,
West Miami,FL,,5863,25.7577,-80.297036,,
District Heights,MD,,5837,38.85754866,-76.88922501,,
Surfside,FL,,5775,25.8784284,-80.1256007,,
West Perth,,AU,5168,-31.94887588,115.842129,2960,Perth
Bay Harbor Islands,FL,,5146,25.8875948,-80.1311564,,
Suquamish,WA,,4140,47.73126503,-122.5515671,,
Port Hadlock - Irondale,WA,,3476,48.03678148,-122.7759227,,
Yelm,WA,,3289,46.9413985,-122.6071169,,
Bal Harbour,FL,,3239,25.8917613,-80.1269896,,
El Portal,FL,,2427,25.8553739,-80.1931029,,
Virginia Gardens,FL,,2294,25.8103758,-80.3022732,,
Allyn,WA,,1988,47.38586272,-122.8275772,,
Langley,WA,,1118,48.03996538,-122.4061604,,
Medley,FL,,1059,25.8406526,-80.3264404,,
Golden Beach,FL,,909,25.9650919,-80.1222671,,
Clinton ,WA,,883,47.97828396,-122.3562756,,
Hoodsport,WA,,780,47.4069639,-123.1401439,,
Belfair,WA,,700,47.4509397,-122.826443,,
Skokomish,WA,,648,47.33339721,-123.1577205,,
Quilcene,WA,,591,47.82216963,-122.8755697,,
Eldon,WA,,378,47.54538219,-123.0447435,,
